Unnamed: 0,Unnamed: 1,INKAR 2022 – Indikatorenübersicht:   Raumbeobachtung Deutschland,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
3312,17037,Geringfügig Beschäftigte 65 Jahre und älter weiblich,Anteil der geringfügig entlohnten weiblichen Beschäftigten 65 Jahre und älter an den weiblichen geringfügig entlohnten Beschäftigten in %,Geringfügig entlohnte weibliche Beschäftigte AO 65 Jahre und älter <Zeitpunkt> / geringfügig entlohnte weibliche Beschäftigte AO <Zeitpunkt> * 100,"Hinweis auf eine Notwendigkeit der Aufstockung der Rente/Pension. Ein gewisser Teil der älteren Minijobber geht aber auch freiwillig einer Erwerbstätigkeit nach. Eine geringfügig entlohnte Beschäftigung (sog. Minijob) liegt vor, wenn das Arbeitsentgelt aus dieser Beschäftigung regelmäßig im Monat 450 Euro nicht übersteigt. Der Arbeitnehmer ist nach § 8 I Nr.1 SGB IV bis zu dieser Grenze von der Sozialversicherung befreit. Bis Ende März 2003 lag die Obergrenze des Arbeitsentgelts bei 325 Euro, bis Ende 2012 bei 400 Euro. Eine Begrenzung der durchschnittlichen Wochenarbeitszeit besteht seit 2003 nicht mehr. In der Kategorie ""geringfügig Beschäftigte 65 Jahre und älter"" sind auch die Personen erfasst, deren Alter nicht zuzuordnen ist. Bei der Bevölkerung ist zu beachten, dass sich die Zahlen vor 2011 auf die Fortschreibung auf Basis der Volkszählung 1987 (BRD) und 1981 (DDR) und ab 2011 auf die Fortschreibung auf Basis des Zensus 2011 beziehen. Bei der Fortschreibung des Bevölkerungsstandes des Bundes und der Länder handelt es sich um Zahlen zum Stichtag 31.12. des Jahres.",Beschäftigtenstatistik der Bundesagentur für Arbeit,,x,,2007-2020
3313,14382,Unterbeschäftigungsquote,Unterbeschäftigte je 100 Erwerbspersonen in %,Unterbeschäftigte <Zeitpunkt> / erweiterte zivile Erwerbspersonen <Zeitpunkt> * 100,"Die Unterbeschäftigungsquote zeigt die relative Unterauslastung des erweiterten Arbeitskräfteangebots. Zivile Erwerbspersonen umfassen die zivilen Erwerbstätigen und Arbeitslose. Die Erweiterung der Arbeitslosigkeit zur Unterbeschäftigung macht auch eine Erweiterung der Bezugsgröße notwendig. Neben den zivilen Erwerbspersonen werden in der Unterbeschäftigung zusätzlich zu den registrierten Arbeitslosen auch die Personen gezählt, die nicht als arbeitslos gelten, weil sie Teilnehmer an einer Maßnahme der Arbeitsmarktpolitik oder in einem arbeitsmarktbedingten Sonderstatus (z. B. kurzfristige Arbeitsunfähigkeit) sind. Teilnehmer an solchen Maßnahmen der Arbeitsmarktpolitik und Personen in einem solchen Sonderstatus sind zwar nicht arbeitslos, werden aber zur Unterbeschäftigung gerechnet, weil sie für Personen stehen, denen ein reguläres Beschäftigungsverhältnis fehlt.",Beschäftigtenstatistik der Bundesagentur für Arbeit,,x,,2011-2019
,,Beschäftigung und Erwerbstätigkeit – Wirtschafts- und Berufszweige,,,,,,,,
3401,17038,Beschäftigte Pimärer Sektor,Anteil der SV Beschäftigten am Arbeitsort im Primären Sektor an den SV Beschäftigten in %,SV Beschäftigte AO im Primären Sektor <Zeitpunkt> / SV Beschäftigte AO <Zeitpunkt> x 100,"Der Anteil der im primären Sektor tätigen sozialversicherungspflichtig Beschäftigten. Der primäre Sektor umfasst den Wirtschaftsabschnitt (WZ 2008) A (Land- und Forstwirtschaft, Fischerei). Sozialversicherungspflichtig Beschäftigte sind Arbeiter, Angestellte und Personen in beruflicher Ausbildung, die in der gesetzlicher Renten-, Kranken- und/oder Arbeitslosenversicherung pflichtversichert sind. Keine Berücksichtigung finden hier also Beamte, Selbständige, mithelfende Familienangehörige oder geringfügig Beschäftigte. Insgesamt werden so nur rund 75% aller Erwerbstätigen erfasst. Trotz dieser Einschränkung werden die sozialversicherungspflichtig Beschäftigten als Maß der dem Arbeitsmarkt zur Verfügung stehenden Arbeitsplätze verwendet. Es handelt sich um SV Beschäftigte am Arbeitsort.",Beschäftigtenstatistik der Bundesagentur für Arbeit,,x,,2008-2020
3402,17040,Beschäftigte Sekundärer Sektor,Anteil der SV Beschäftigten am Arbeitsort im Sekundären Sektor an den SV Beschäftigten in %,SV Beschäftigte AO im Sekundären Sektor <Zeitpunkt> / SV Beschäftigte AO <Zeitpunkt> x 100,"Der Anteil der im sekundären Sektor tätigen sozialversicherungspflichtig Beschäftigten. Der sekundäre Sektor umfasst das Produzierende Gewerbe und damit die Wirtschaftsabschnitte (WZ 2008) B (Bergbau und Gewinnung von Steinen und Erden), C (Verarbeitendes Gewerbe), D (Energieversorgung), E (Wasserversorgung, Abwasser/Abfall, Umweltverschmutzung) und F (Baugewerbe). Der sekundäre Sektor bietet in der Regel gute Verdienstmöglichkeiten, aber z.T. strukturelle Gefährdungspotentiale bei „klassischen“ Produktionen. Es herrscht eine hohe Heterogenität von Produktivität und Modernität innerhalb des Sektors. Sozialversicherungspflichtig Beschäftigte sind Arbeiter, Angestellte und Personen in beruflicher Ausbildung, die in der gesetzlicher Renten-, Kranken- und/oder Arbeitslosenversicherung pflichtversichert sind. Keine Berücksichtigung finden hier also Beamte, Selbständige, mithelfende Familienangehörige oder geringfügig Beschäftigte. Insgesamt werden so nur rund 75% aller Erwerbstätigen erfasst. Trotz dieser Einschränkung werden die sozialversicherungspflichtig Beschäftigten als Maß der dem Arbeitsmarkt zur Verfügung stehenden Arbeitsplätze verwendet. Es handelt sich um SV Beschäftigte am Arbeitsort.",Beschäftigtenstatistik der Bundesagentur für Arbeit,,x,,2008-2020
3403,17047,Beschäftigte Tertiärer Sektor,Anteil der SV Beschäftigten am Arbeitsort im Tertiären Sektor an den SV Beschäftigten in %,SV Beschäftigte AO im Tertiären Sektor <Zeitpunkt> / SV Beschäftigte AO <Zeitpunkt> x 100,"Der Anteil der im tertiären Sektor tätigen sozialversicherungspflichtig Beschäftigten. Der tertiäre Sektor umfasst den Dienstleistungssektor und damit die Wirtschaftsabschnitte (WZ 2008) G (Handel, Instandhaltung v. Kfz), H (Verkehr u. Lagerei), I (Gastgewerbe), J (Information und Kommunikation), K (Finanz- und Versicherungsdienstleistungen), L (Grundstücks- u. Wohnungswesen), M (freiberufliche, wissenschaftliche u. technische Dienstleistungen), N (Sonstige wirtschaftliche Dienstleistungen), O (Öffentliche Verwaltung, Verteidigung!. Sozialversicherung), P (Erziehung u. Unterricht), Q (Gesundheits- u. Sozialwesen), R (Kunst, Unterhaltung, Erholung), S (Erbringung von sonstigen Dienstleistungen), T (Private Haushalte, Dienstleistungen f. priv. HH). Tertiärisierung wird z.T. als Indikator für den Reifegrad einer Wirtschaft interpretiert, was im Einzelfall aber zu Fehleinschätzungen führen kann. Sozialversicherungspflichtig Beschäftigte sind Arbeiter, Angestellte und Personen in beruflicher Ausbildung, die in der gesetzlicher Renten-, Kranken- und/oder Arbeitslosenversicherung pflichtversichert sind. Keine Berücksichtigung finden hier also Beamte, Selbständige, mithelfende Familienangehörige oder geringfügig Beschäftigte. Insgesamt werden so nur rund 75% aller Erwerbstätigen erfasst. Trotz dieser Einschränkung werden die sozialversicherungspflichtig Beschäftigten als Maß der dem Arbeitsmarkt zur Verfügung stehenden Arbeitsplätze verwendet. Es handelt sich um SV Beschäftigte am Arbeitsort.",Beschäftigtenstatistik der Bundesagentur für Arbeit,,x,,2008-2020
3404,17049,Industriequote,SV Beschäftigte am Arbeitsort in der Industrie je 100 Einwohner im erwerbsfähigen Alter in %,SV Beschäftigte AO in der Industrie <Zeitpunkt> / E 15 bis <65 Jahre <Zeitpunkt> x 100,"Der Anteil der in der Industrie tätigen sozialversicherungspflichtig Beschäftigten an allen Einwohnern im erwerbsfähigen Alter. Die Industrie umfasst das Produzierende Gewerbe und damit die Wirtschaftsabschnitte (WZ 2008) B (Bergbau und Gewinnung von Steinen und Erden), C (Verarbeitendes Gewerbe), D (Energieversorgung), E (Wasserversorgung, Abwasser/Abfall, Umweltverschmutzung) und F ('Baugewerbe). Sozialversicherungspflichtig Beschäftigte sind Arbeiter, Angestellte und Personen in beruflicher Ausbildung, die in der gesetzlicher Renten-, Kranken- und/oder Arbeitslosenversicherung pflichtversichert sind. Keine Berücksichtigung finden hier also Beamte, Selbständige, mithelfende Familienangehörige oder geringfügig Beschäftigte. Insgesamt werden so nur rund 75% aller Erwerbstätigen erfasst. Trotz dieser Einschränkung werden die sozialversicherungspflichtig Beschäftigten als Maß der dem Arbeitsmarkt zur Verfügung stehenden Arbeitsplätze verwendet. Es handelt sich um SV Beschäftigte am Arbeitsort. Bei der Bevölkerung ist zu beachten, dass sich die Zahlen vor 2011 auf die Fortschreibung auf Basis der Volkszählung 1987 (BRD) und 1981 (DDR) und ab 2011 auf die Fortschreibung auf Basis des Zensus 2011 beziehen. Bei der Fortschreibung des Bevölkerungsstandes des Bundes und der Länder handelt es sich um Zahlen zum Stichtag 31.12. des Jahres.","Monats- und Jahresbericht für Betriebe im Bereich Verarbeitendes Gewerbe, Bergbau und Gewinnung von Steinen und Erden",,x,,2008-2020
3405,17051,Dienstleistungsquote,SV Beschäftigte am Arbeitsort im Dienstleistungssektor je 100 Einwohner im erwerbsfähigen Alter in %,SV Beschäftigte AO im Dienstleistungssektor <Zeitpunkt> / E 15 bis <65 Jahre <Zeitpunkt> x 100,"Der Anteil der im tertiären Sektor tätigen sozialversicherungspflichtig Beschäftigten an allen Einwohnern im erwerbsfähigen Alter. Der tertiäre Sektor umfasst den Dienstleistungssektor und damit die Wirtschaftsabschnitte (WZ 2008) G (Handel, Instandhaltung v. Kfz), H (Verkehr u. Lagerei), I (Gastgewerbe), J (Information und Kommunikation), K (Finanz- und Versicherungsdienstleistungen), L (Grundstücks- u. Wohnungswesen), M (freiberufliche, wissenschaftliche u. technische Dienstleistungen), N (Sonstige wirtschaftliche Dienstleistungen), O (Öffentliche Verwaltung, Verteidigung!. Sozialversicherung), P (Erziehung u. Unterricht), Q (Gesundheits- u. Sozialwesen), R (Kunst, Unterhaltung, Erholung), S (Erbringung von sonstigen Dienstleistungen), T (Private Haushalte, Dienstleistungen f. priv. HH), U (Exterritoriale Organisationen u. Körperschaften). Tertiärisierung wird z.T. als Indikator für den Reifegrad einer Wirtschaft interpretiert, was im Einzelfall aber zu Fehleinschätzungen führen kann. Sozialversicherungspflichtig Beschäftigte sind Arbeiter, Angestellte und Personen in beruflicher Ausbildung, die in der gesetzlicher Renten-, Kranken- und/oder Arbeitslosenversicherung pflichtversichert sind. Keine Berücksichtigung finden hier also Beamte, Selbständige, mithelfende Familienangehörige oder geringfügig Beschäftigte. Insgesamt werden so nur rund 75% aller Erwerbstätigen erfasst. Trotz dieser Einschränkung werden die sozialversicherungspflichtig Beschäftigten als Maß der dem Arbeitsmarkt zur Verfügung stehenden Arbeitsplätze verwendet. Es handelt sich um SV Beschäftigte am Arbeitsort. Bei der Bevölkerung ist zu beachten, dass sich die Zahlen vor 2011 auf die Fortschreibung auf Basis der Volkszählung 1987 (BRD) und 1981 (DDR) und ab 2011 auf die Fortschreibung auf Basis des Zensus 2011 beziehen. Bei der Fortschreibung des Bevölkerungsstandes des Bundes und der Länder handelt es sich um Zahlen zum Stichtag 31.12. des Jahres.",Beschäftigtenstatistik der Bundesagentur für Arbeit,,x,,2008-2020
3406,17053,Beschäftigte in unternehmensbezogenen Dienstleistungen,Anteil der SV Beschäftigten am Arbeitsort in wissensintensiven unternehmensbezogenen Dienstleistungsbranchen an den SV Beschäftigten in %,"SV Beschäftigte AO in den WZ 62-64, 66, 69, 70-74 <Zeitpunkt> / SV Beschäftigte AO <Zeitpunkt> x 100 ","Der Anteil der in wissensintensiven unternehmensbezogenen Dienstleistungen tätigen sozialversicherungspflichtig Beschäftigten. Wissensintensive unternehmensbezogene Dienstleistungen nach WZ 2008 sind folgende Abteilungen: 62 (Erbringung v. DL der Informationstechnologie), 63 (Informations-DL), 64 (Finanz-DL), 66 (mit Finanz- und Versicherungs-DL verbundene Tätigkeiten), 69 (Rechts- und Steuerberatung, Wirtschaftsprüfung), 70 (Verwaltung u. Führung v. Unternehmen u. Bertrieben!. Unternehmensberatung), 71 (Architektur- u. Ingenieurbüros, techn., physikal. u. chem. Untersuchung), 72 (Forschung u. Entwicklung), 73 (Werbung u. Marktforschung), 74 (sonst. freiberufl, wissenschaftl. u. techn. Tätigkeiten). Sie zeichnen sich durch humankapitalintensive und nicht standardisierbare Produkte und Leistungen aus, entscheidend ist daher die Mitarbeitkompetenz.Überdurchsnittlich hoher Akademikeranteil. In den letzten Jahren sind gerade in diesem Bereich in umfangreichem Maße Arbeitsplätze entstanden, dadurch verschieben sich die Beschäftigungsstrukturen zugunsten einer höheren Qualifikation. Sozialversicherungspflichtig Beschäftigte sind Arbeiter, Angestellte und Personen in beruflicher Ausbildung, die in der gesetzlicher Renten-, Kranken- und/oder Arbeitslosenversicherung pflichtversichert sind. Keine Berücksichtigung finden hier also Beamte, Selbständige, mithelfende Familienangehörige oder geringfügig Beschäftigte. Insgesamt werden so nur rund 75% aller Erwerbstätigen erfasst. Trotz dieser Einschränkung werden die sozialversicherungspflichtig Beschäftigten als Maß der dem Arbeitsmarkt zur Verfügung stehenden Arbeitsplätze verwendet. Es handelt sich um SV Beschäftigte am Arbeitsort.",Beschäftigtenstatistik der Bundesagentur für Arbeit,,x,,2009-2020
3407,17061,Beschäftigte in Kreativbranchen,Anteil der SV Beschäftigten am Arbeitsort in Kreativbranchen an den SV Beschäftigten in %,SV Beschäftigte AO in Kreativbranchen <Zeitpunkt> / SV Beschäftigte AO <Zeitpunkt> x 100,"Der Anteil der in Kreativbranchen tätigen sozialversicherungspflichtig Beschäftigten. Die Abgrenzung der Kultur- und Kreativwirtschaft erfolgt nach dem Arbeitskreis Kulturstatistik e.V. anhand der Klassifikation der Wirtschaftszweige (WZ 2008): Verlagsgewerbe, Filmwirtschaft, Tonträgerindustrie/Musikverlage, Rundfunkwirtschaft, kulturelle Wirtschaftszweige, Bibliotheken/Museen, Handel mit Kulturgütern, Architektur, Design, Werbung, Software/Games. Sozialversicherungspflichtig Beschäftigte sind Arbeiter, Angestellte und Personen in beruflicher Ausbildung, die in der gesetzlicher Renten-, Kranken- und/oder Arbeitslosenversicherung pflichtversichert sind. Keine Berücksichtigung finden hier also Beamte, Selbständige, mithelfende Familienangehörige oder geringfügig Beschäftigte. Insgesamt werden so nur rund 75% aller Erwerbstätigen erfasst. Trotz dieser Einschränkung werden die sozialversicherungspflichtig Beschäftigten als Maß der dem Arbeitsmarkt zur Verfügung stehenden Arbeitsplätze verwendet. Besonders in der Kreativwirtschaft sind häufig Freiberufler und Selbstständige tätig, weswegen die SV Beschäftigten insbesondere für diese Gruppe nur eine eingeschränkte Aussagekraft aufweisen. Es handelt sich um SV Beschäftigte am Arbeitsort.",Beschäftigtenstatistik der Bundesagentur für Arbeit,,x,,2008-2020
3408,17062,Beschäftigte in wissensintensiven Industrien,Anteil der SV Beschäftigten am Arbeitsort in wissens- u. forschungsintensiven Industrien an den SV Beschäftigten in %,"SV Beschäftigte AO in den WZ 20, 21, 26-30 <Zeitpunkt> / SV Beschäftigte AO <Zeitpunkt> x 100 ","Der Anteil der in wissens- bzw. forschungsintensiven Industrien tätigen sozialversicherungspflichtig Beschäftigten. Er ist ein Hinweis auf technologische Leistungsfähigkeit und hat einen hohen Akademikeranteil unter den Beschäftigten. Wissens- bzw. forschungsintensive Industrien (nach WZ 2008, NIW/ISI/ZEW-Liste 2010) sind folgende Abteilungen: 20 (Herst. v. chem. Erzeugnissen), 21 (Herst. v. pharmazeut. Erzeugnissen), 26 (Herst. v. Datenverarbeitungsgeräten, elektron. u. optischen Erzeugnissen), 27 (Herst. v. elektrischen Ausrüstungen), 28 (Maschinenbau), 29 (Herst. v. Kraftwagen u. Teilen), 30 (sonst. Fahrzeugbau). Sozialversicherungspflichtig Beschäftigte sind Arbeiter, Angestellte und Personen in beruflicher Ausbildung, die in der gesetzlicher Renten-, Kranken- und/oder Arbeitslosenversicherung pflichtversichert sind. Keine Berücksichtigung finden hier also Beamte, Selbständige, mithelfende Familienangehörige oder geringfügig Beschäftigte. Insgesamt werden so nur rund 75% aller Erwerbstätigen erfasst. Trotz dieser Einschränkung werden die sozialversicherungspflichtig Beschäftigten als Maß der dem Arbeitsmarkt zur Verfügung stehenden Arbeitsplätze verwendet. Es handelt sich um SV Beschäftigte am Arbeitsort.",Beschäftigtenstatistik der Bundesagentur für Arbeit,,x,,2009-2020
3409,17806,Beschäftigte in IT- und naturwissenschaftlichen Dienstleistungsberufen,Anteil der sozialversicherungspfichtig Beschäftigten in IT- und naturwissenschaftlichen Dienstleistungsberufen an den SV Beschäftigten in %,SV Beschäftigte AO in IT- und naturwissenschaftlichen Dienstleistungsberufen <Zeitpunkt> / SV Beschäftigte AO <Zeitpunkt> * 100,,Beschäftigtenstatistik der Bundesagentur für Arbeit,,x,,2013-2020
3410,17065,Beschäftigte im Handwerk,Anteil der SV Beschäftigte am Arbeitsort in Handwerksbetrieben an den SV Beschäftigten in %,SV Beschäftigte AO in Handwerksbetrieben <Zeitpunkt> / SV Beschäftigte AO <Zeitpunkt> x 100,"Der Anteil der im Handwerk tätigen sozialversicherungspflichtig Beschäftigten. Bei der Handwerkszählung werden nur selbstständige Handwerksunternehmen die aus handels- bzw. steuerrechtlichen Gründen Bücher führen müssen einbezogen. Sie müssen weiterhin bei der Handwerkskammer geführt werden, mindestens einen sozialversicherungspflichtig Beschäftigten sowie einen steuerbaren Umsatz von 17.500 € im Jahr erwirtschaftet haben. Stichtag der Handwerkszählung ist der 31.12. eines Jahres. Sozialversicherungspflichtig Beschäftigte sind Arbeiter, Angestellte und Personen in beruflicher Ausbildung, die in der gesetzlicher Renten-, Kranken- und/oder Arbeitslosenversicherung pflichtversichert sind. Keine Berücksichtigung finden hier also Beamte, Selbständige, mithelfende Familienangehörige oder geringfügig Beschäftigte. Insgesamt werden so nur rund 75% aller Erwerbstätigen erfasst. Trotz dieser Einschränkung werden die sozialversicherungspflichtig Beschäftigten als Maß der dem Arbeitsmarkt zur Verfügung stehenden Arbeitsplätze verwendet. Es handelt sich um SV Beschäftigte am Arbeitsort.",Handwerkszählung des Bundes und der Länder,,x,,2010-2018
3411,17056,Erwerbstätige Primärer Sektor,Anteil der Erwerbstätigen im Primären Sektor an den Erwerbstätigen in %,Erwerbstätige im Primären Sektor <Zeitpunkt> / Erwerbstätige <Zeitpunkt> x 100,"Der Anteil der im primären Sektor tätigen Erwerbstätigen. Der primäre Sektor umfasst den Wirtschaftsabschnitt (WZ 2008, NACE Rev. 2) A (Land- und Forstwirtschaft, Fischerei). Erwerbstätige sind Personen, die während der Referenzwoche einer Beschäftigung nachgegangen sind, für die sie ein Entgelt in Form von Lohn oder sonstigen Einkünften erhalten haben, einschließlich derjenigen, die in einem Arbeitsverhältnis standen, aber vorübergehend vom Arbeitsplatz abwesend waren. Eingeschlossen sind also auch Selbstständige sowie mithelfende Familienangehörige. Daten für Frankreich ohne französische Überseegebiete. ",Arbeitskreis Erwerbstätigenrechnung der Länder,,x,,2000-2020
3412,17058,Erwerbstätige Sekundärer Sektor,Anteil der Erwerbstätigen im Sekundären Sektor an den Erwerbstätigen in %,Erwerbstätige im Sekundären Sektor <Zeitpunkt> / Erwerbstätige <Zeitpunkt> x 100,"Der Anteil der im sekundären Sektor tätigen Erwerbstätigen. Der sekundäre Sektor umfasst das Produzierende Gewerbe und damit die Wirtschaftsabschnitte (WZ 2008, NACE Rev. 2) B, C, D, E, F. Erwerbstätige sind Personen, die während der Referenzwoche einer Beschäftigung nachgegangen sind, für die sie ein Entgelt in Form von Lohn oder sonstigen Einkünften erhalten haben, einschließlich derjenigen, die in einem Arbeitsverhältnis standen, aber vorübergehend vom Arbeitsplatz abwesend waren. Eingeschlossen sind also auch Selbstständige sowie mithelfende Familienangehörige. Daten für Frankreich ohne französische Überseegebiete. ",Arbeitskreis Erwerbstätigenrechnung der Länder,,x,,2000-2020
3413,17059,Erwerbstätige Tertiärer Sektor,Anteil der Erwerbstätigen im Tertiären Sektor an den Erwerbstätigen in %,Erwerbstätige im Tertiären Sektor <Zeitpunkt> / Erwerbstätige <Zeitpunkt> x 100,"Der Anteil der im tertiären Sektor tätigen Erwerbstätigen. Der tertiäre Sektor umfasst den Dienstleistungssektor und damit die Wirtschaftsabschnitte (WZ 2008, NACE Rev. 2) G bis T. Erwerbstätige sind Personen, die während der Referenzwoche einer Beschäftigung nachgegangen sind, für die sie ein Entgelt in Form von Lohn oder sonstigen Einkünften erhalten haben, einschließlich derjenigen, die in einem Arbeitsverhältnis standen, aber vorübergehend vom Arbeitsplatz abwesend waren. Eingeschlossen sind also auch Selbstständige sowie mithelfende Familienangehörige. Daten für Frankreich ohne französische Überseegebiete. ",Arbeitskreis Erwerbstätigenrechnung der Länder,,x,,2000-2020
3414,17063,Anteil Erwerbstätige Verarbeitendes Gewerbe an Industrie,Anteil der Erwerbstätigen im Verarbeitenden Gewerbe an den Erwerbstätigen im Sekundären Sektor in %,Erwerbstätige im Verarbeitenden Gewerbe <Zeitpunkt> / Erwerbstätige im Sekundären Sektor <Zeitpunkt> x 100,"Der Anteil der Erwerbstätigen im Verarbeitenden Gewerbe an den Erwerbstätigen im sekundären Sektor. Der sekundäre Sektor umfasst das Produzierende Gewerbe und damit die Wirtschaftsabschnitte (WZ 2008, NACE Rev. 2) B, C, D, E, F. Das Verarbeitende Gewerbe umfasst den Wirtschaftsabschnitt (WZ 2008, NACE Rev. 2) C. Erwerbstätige sind Personen, die während der Referenzwoche einer Beschäftigung nachgegangen sind, für die sie ein Entgelt in Form von Lohn oder sonstigen Einkünften erhalten haben, einschließlich derjenigen, die in einem Arbeitsverhältnis standen, aber vorübergehend vom Arbeitsplatz abwesend waren. Eingeschlossen sind also auch Selbstständige sowie mithelfende Familienangehörige.",Arbeitskreis Erwerbstätigenrechnung der Länder,,x,,2000-2020
3415,17064,Anteil Erwerbstätige Finanz- und Unternehmensdienstleistungen,"Anteil der Erwerbstätigen in Finanz-, Versicherungs- und Unternehmensdienstleistungen sowie im Grundstücks- und Wohnungswesen an den Erwerbstätigen im Tertiären Sektor in %","Erwerbstätige Finanz-, Versicherungs- und Unternehmensdienstleister!. Grundstücks- und Wohnungswesen < Zeitpunkt> / Erwerbstätige in Dienstleistungsbereichen <Zeitpunkt>  x 100","Der Anteil der Erwerbstätigen in Finanz-, Versicherungs- und Unternehmensdienstleistungen sowie im Grundstücks- und Wohnungswesen an den Erwerbstätigen im Tertiären Sektor. Der tertiäre Sektor umfasst den Dienstleistungssektor und damit  die Wirtschaftsabschnitte (WZ 2008, NACE Rev. 2) G bis T. Erwerbstätige sind Personen, die während der Referenzwoche einer Beschäftigung nachgegangen sind, für die sie ein Entgelt in Form von Lohn oder sonstigen Einkünften erhalten haben, einschließlich derjenigen, die in einem Arbeitsverhältnis standen, aber vorübergehend vom Arbeitsplatz abwesend waren. Eingeschlossen sind also auch Selbstständige sowie mithelfende Familienangehörige.",Arbeitskreis Erwerbstätigenrechnung der Länder,,x,,2000-2020
,,Bevölkerung,,,,,,,,
,,Bevölkerung – Altersstruktur,,,,,,,,
4101,16186,Einwohner unter 3 Jahren,Anteil der Einwohner unter 3 Jahren an den Einwohnern in %,E bis < 3 Jahre <Zeitpunkt> / E <Zeitpunkt> x 100,"Die Altersgruppe umfasst Kleinkinder. Die sogenannte Kleinkindquote gibt Hinweise auf Infrastrukturbedarf für kleinere Kinder (Kindertageseinrichtungen) und familiengerechtes Wohnen. Kann auch als Indikator für junge Familien herangezogen werden. Bei der Bevölkerung ist zu beachten, dass sich die Zahlen vor 2011 auf die Fortschreibung auf Basis der Volkszählung 1987 (BRD) und 1981 (DDR) und ab 2011 auf die Fortschreibung auf Basis des Zensus 2011 beziehen. Bei der Fortschreibung des Bevölkerungsstandes des Bundes und der Länder handelt es sich um Zahlen zum Stichtag 31.12. des Jahres.",Fortschreibung des Bevölkerungsstandes des Bundes und der Länder,x,,2001-2020,1995-2020
4102,16206,Einwohner von 3 bis unter 6 Jahren,Anteil der Einwohner von 3 bis unter 6 Jahren an den Einwohnern in %,E 3 bis < 6 Jahre <Zeitpunkt> / E <Zeitpunkt> x 100,"Die Altersgruppe umfasst ältere Kleinkinder. Die sogenannte Kleinkindquote gibt Hinweise auf Infrastrukturbedarf für kleinere Kinder (Kindertageseinrichtungen) und familiengerechtes Wohnen. Kann auch als Indikator für junge Familien herangezogen werden. Bei der Bevölkerung ist zu beachten, dass sich die Zahlen vor 2011 auf die Fortschreibung auf Basis der Volkszählung 1987 (BRD) und 1981 (DDR) und ab 2011 auf die Fortschreibung auf Basis des Zensus 2011 beziehen. Bei der Fortschreibung des Bevölkerungsstandes des Bundes und der Länder handelt es sich um Zahlen zum Stichtag 31.12. des Jahres.",Fortschreibung des Bevölkerungsstandes des Bundes und der Länder,x,,2001-2020,1995-2020
4103,15410,Einwohner unter 6 Jahre,Anteil der Einwohner unter 6 Jahren an den Einwohnern in %,E bis < 6 Jahre <Zeitpunkt> / E <Zeitpunkt> x 100,"Die Altersgruppe umfasst Kleinkinder. Die sogenannte Kleinkindquote gibt Hinweise auf Infrastrukturbedarf für kleinere Kinder (Kindertageseinrichtungen) und familiengerechtes Wohnen. Kann auch als Indikator für junge Familien herangezogen werden. Bei der Bevölkerung ist zu beachten, dass sich die Zahlen vor 2011 auf die Fortschreibung auf Basis der Volkszählung 1987 (BRD) und 1981 (DDR) und ab 2011 auf die Fortschreibung auf Basis des Zensus 2011 beziehen. Bei der Fortschreibung des Bevölkerungsstandes des Bundes und der Länder handelt es sich um Zahlen zum Stichtag 31.12. des Jahres.",Fortschreibung des Bevölkerungsstandes des Bundes und der Länder,x,,2001-2020,1995-2020
4104,15426,Einwohner von 6 bis unter 18 Jahren,Anteil der Einwohner von 6 bis unter 18 Jahren an den Einwohnern in %,E 6 bis < 18 Jahre <Zeitpunkt> / E <Zeitpunkt> x 100,"Die Altersgruppe umfasst Kinder und Jugendliche. Der Indikator kann Hinweise auf schulischen Infrastrukturbedarf und auf Ausbildungs- sowie Berufseinstiegsmöglichkeiten geben. Bei der Bevölkerung ist zu beachten, dass sich die Zahlen vor 2011 auf die Fortschreibung auf Basis der Volkszählung 1987 (BRD) und 1981 (DDR) und ab 2011 auf die Fortschreibung auf Basis des Zensus 2011 beziehen. Bei der Fortschreibung des Bevölkerungsstandes des Bundes und der Länder handelt es sich um Zahlen zum Stichtag 31.12. des Jahres.",Fortschreibung des Bevölkerungsstandes des Bundes und der Länder,x,,2001-2020,1995-2020
4105,16109,Einwohner von 18 bis unter 25 Jahren,Anteil der Einwohner von 18 bis unter 25 Jahren an den Einwohnern in %,E 18 bis < 25 Jahre <Zeitpunkt> / E <Zeitpunkt> x 100,"Die Altersgruppe umfasst Jugendliche und junge Erwachsene. Der Indikator kan Hinweise auf das Erwerbspotenzial jüngerer Erwerbsfähiger, ohne Berücksichtigung der tatsächlichen Erwerbsmöglichkeiten und Erwerbswünsche geben. Gleichzeitig auch auf das Bildungs- und Ausbildungspotenzial. Bei der Bevölkerung ist zu beachten, dass sich die Zahlen vor 2011 auf die Fortschreibung auf Basis der Volkszählung 1987 (BRD) und 1981 (DDR) und ab 2011 auf die Fortschreibung auf Basis des Zensus 2011 beziehen. Bei der Fortschreibung des Bevölkerungsstandes des Bundes und der Länder handelt es sich um Zahlen zum Stichtag 31.12. des Jahres.",Fortschreibung des Bevölkerungsstandes des Bundes und der Länder,x,,2001-2020,1995-2020
