ID;Name;Source;Study Location;Geographical Unit;Study Period;Time Unit;Number of cases;Variables;Qualitative/Quantitative;Secondary or primary data;Agggregated/Individual Data;Access;Cost;URL;Contact Details;Data Quality/ Limitations;Comments;Contributor;Topic
51;Youth in youth services/youth care (In Dutch: Kerncijfers over jeugdzorg, 2015-2020);CBS;The Netherlands;"Provinces, COROP, municipalities, and ""jeugdregio's"" (youth regions).";2015-2020;1-year, and 6-months periods within respective years.;Not specified.;The number of youth in youthcare (per region), the youthcare trajectories, and the types of care.;quantitative;Primary;Aggregated;Public data;Free;https://opendata.cbs.nl/#/CBS/nl/dataset/84134NED/table;https://www.cbs.nl/nl-nl/over-ons/contact/infoservice;No further comments;Only in Dutch and there is quite some missing data on the youthcare trajectories.;Karin;Youth
52;"Municipal expenses for youthcare (In Dutch: Gemeentelijke kosten; jeugdzorg, regio)";CBS;The Netherlands;Municipality ;2015-2021;1-year, and 6-months periods within respective years.;Not specified.;"The type of youthcare, prospective- and actual expenses. These can be specified in ""raw"" numbers or per thousand of the population.";quantitative;"I assume primary; CBS got the data from municipalities that filled in the questionaire ""Enquête Kosten Wmo en Jeugd"" (but CBS gathered the data)";Aggregated;Public data;Free;https://opendata.cbs.nl/#/CBS/nl/dataset/83454NED/table;https://www.cbs.nl/nl-nl/over-ons/contact/infoservice;Missing observations for some categories (could be that no expenses are made).;It is only in Dutch and empty cells are quite frequent (which is a good case ofc, but not for research necessarily). Data likely available since 2015 because municipalities became responsible for youthcare.;Karin;Youth
53;Grenzdaten (Border Data);CBS;Netherlands, Lower Saxony, North-Rhine Westphalia and Belgium;up to NUTS 3;2010-2019 (some variables for 2020 too);years;Not specified.;Data on employment, enterprises, population, commuting and economy;quantitative;secondary;Aggregated;public data;/;https://opendata.grensdata.eu/#/InterReg/de/;grenzdatenportal@cbs.nl;Missing cases in some variables on NUTS 2 or 3 level;;Tim;very broad
54;Datenbank Beschäftigung (Employment database);Bundesagentur für Arbeit (Federal Employment Agency);Germany;up to NUTS 3;2017 - 2022;months;should be all of the 401 districts in NUTS 3 classification;demographic and employment data;quantitative;secondary;Aggregated;public data;/;https://statistik.arbeitsagentur.de/DE/Navigation/Statistiken/Interaktive-Statistiken/Datenbanken/Datenbanken-BST-Nav.html;Service-Haus.Statistik-Visualisierung@arbeitsagentur.de;/;Webbased, but with downloadable tables;Tim;economy, labour market
55;Offene Daten Stadt Oldenburg;Stadt Oldenburg (City of Oldenburg);Oldenburg;NUTS 3;depends on variable;years;Not specified.;43 variables on culture, leisure, sports, tourism, transport, administration, population, geodata, infrastructure, living, social data, economy, employment, education, science, law and health;quantitative;probably primary;Aggregated;public data;/;https://opendata.oldenburg.de/;" digitalisierung@stadt-oldenburg.de; and via contact formular under https://opendata.oldenburg.de/daten/anfragen";;;Tim;very broad
56;Regionaldatenbank Deutschland (Regional Database Germany);Statistische Ämter des Bundes und der Länder (Statistical Offices of the Federation and the Länder);Germany;up to municipaliy level;depends on variable;years;Not specified.;"Data on following themes: 1: region, population, job market, elections; 2: education, social security, health, judicature; 3: Living, environment; 4: economy; 5: trade, enterprises, skilled crafts and trade; 6: prices, income, wages, consumption; 7: public finances, taxes, personnel; 8: total account of federal states (national economy, health economy); 9: others";quantitative;secondary;Aggregated;public data;/;https://www.regionalstatistik.de/genesis/online;regionaldatenbank@it.nrw.de;;Same categories as GENESIS by DESTATIS, different variables;Tim;very broad
57;GENESIS-Online;DESTATIS - Statistisches Bundesamt (Federal Statistical Office);Germany;Federal States and state level;depends on variable;years;Not specified.;"Data on following themes: 1: region, population, job market, elections; 2: education, social security, health, judicature; 3: Living, environment; 4: economy; 5: trade, enterprises, skilled crafts and trade; 6: prices, income, wages, consumption; 7: public finances, taxes, personnel; 8: total account of federal states (national economy, health economy); 9: others";quantitative;secondary;Aggregated;public data;/;https://www-genesis.destatis.de/genesis/online;genesis-online@destatis.de;;Same categories as GENESIS by DESTATIS, different variables;Tim;very broad
58;Statistische gegevens per vierkant 2021-2020-2019 (Statistical data per square 2021-2020-2019);CBS;Netherlands;per square (100x100m, 500x500m);2019-2021;years;Not specified.;data on demography, housing energy, social security, density, proximity of facilities;quantitative;secondary;aggregated;not clear, probably open access;/;https://www.cbs.nl/nl-nl/longread/diversen/2022/statistische-gegevens-per-vierkant-2021-2020-2019;https://www.cbs.nl/nl-nl/over-ons/contact/infoservice;/;didn't find the dataset;Tim;very broad
59;Geodaten Landkreis Leer (Geodata of the district Leer);Landkreis Leer (Leer district);Leer;district;depends on variable;/;Not specified.;fibreglass, retirements homes, swimming spots, urban land-use planing, emergency services, administrative points, aerial images, conservation, satelite images, schools, solar, charging stations, water protection, ;geographic data;primary;/;public data;/ ;https://lkleer.maps.arcgis.com/home/index.html;gis@lkleer.de;/;;Tim;very broad
60;Zensus 2011 (National census 2011);Zensus Datenbank (german census database);Germany;up to municipality;2011;/;11339 municipalities, 412 districts, 16 federal states, and state level;Data on population, education, employment. migration, buidlings, dwellings, households, families;quantitiative ;secondary?;aggregated;public data;/ ;https://ergebnisse2011.zensus2022.de/datenbank/online?operation=sprachwechsel&language=en;https://kontakt.zensus2022.de/sites/kontakt/EN/contact_node.html;/;;Tim;very broad
61;Zensusatlas 2011 - Bundesweite kleinräumige Daten (1km²-Raster) der amtichen Statistik zur Bevölkerung, Gebäude und Wohnungen (census atlas 2011 - Nationwide small-scale data (1km² grid) of official statistics on population, buildings and dwellings);Inspire Geoportal;Germany;1km² grid;2011;/;Not specified.;Share of under 18-year olds, share of over 65-year olds, average household size, vacancy rate, average age, population, living space per flat, sex ratio, living space per resident;geographic data/quantitative;secondary;aggregated;public data;/ ;https://inspire-geoportal.ec.europa.eu/download_details.html?view=downloadDetails&resourceId=%2FINSPIRE-4fed3eb0-06fa-11ea-8480-525400695e9c_20221103-110203%2Fservices%2F1%2FPullResults%2F193121-193140%2Fdatasets%2F20&expandedSection=metadata;zensus2011@destatis.de;/;/;Tim;very broad
62;Regionalatlas (Regional Atlas Germany);Statistische Ämter des Bundes und der Länder (Statistical Offices of the Federation and the Länder);Germany;municipality level;depends on variable;years;Not specified.;see Regionaldatenbank Deutschland (56);geographic data/quantitative;secondary;aggregated;public data;/ ;https://regionalatlas.statistikportal.de/;auskunft@statistik.niedersachsen.de, https://www.destatis.de/DE/Service/Kontakt/Kontakt.html;/;GeoJSON and Shapefile formats, pretty sure thats just data from Regionaldatenbank Deutschland as geographic data;Tim;very broad
63;Eurostat Regional Yearbook;Eurostat;European Union;up to NUTS 2;2000-2021;years;Not specified.;Themes: population, health, education, labour market, living conditions, digital society, economy, business, research and development, tourism, transport, environment, agriculture;quantitative;secondary;aggregated;public data;/ ;https://ec.europa.eu/eurostat/statistics-explained/index.php?title=Eurostat_regional_yearbook;?;/;Martin already included some variables individually in the spreadsheet;Tim;very broad
64;Einwohner (Inhabitants) - MORO Project (Modellvorhaben der Raumordnung (Model project of spatial planning);Bundesinstitut für Bau-, Stadt- und Raumforschung (BBSR) - (Federal Institute for Research on Building, Urban Affairs and Spatial Development);Germany/Netherlands (and other EU-countries);LAU;2010-2019;years;Not stated;Number of inhabitants, share of women, share of men, population density;quantitative;secondary;aggregated;on request;Free;https://www.bbsr.bund.de/BBSR/DE/forschung/raumbeobachtung/Komponenten/grenzueberschreitende-raumbeobachtung/grenzueberschreitende-raumbeobachtung.html;"Claire Duvernet
Bundesinstitut für Bau-, Stadt- und Raumforschung (BBSR)
Referat RS 3 „Europäische Raum- und Stadtentwicklung“
Telefon: +49 228 99401-2328
E-Mail: claire.duvernet@bbr.bund.de";/;/;Tim;Demography
65;Altersstruktur (age structure) - MORO Project (Modellvorhaben der Raumordnung (Model project of spatial planning);Bundesinstitut für Bau-, Stadt- und Raumforschung (BBSR) - (Federal Institute for Research on Building, Urban Affairs and Spatial Development);Germany/Netherlands (and other EU-countries);LAU;2010-2019;years;Not stated;Population < 6 y., Population6 to < 18 y., Population 25 to < 50 y., Population 50 < 65 y., Population 65 to < 75 y., Population 75 y. and older, Average age, Old-age dependency ratio;quantitative;secondary;aggregated;on request;Free;https://www.bbsr.bund.de/BBSR/DE/forschung/raumbeobachtung/Komponenten/grenzueberschreitende-raumbeobachtung/grenzueberschreitende-raumbeobachtung.html;"Claire Duvernet
Bundesinstitut für Bau-, Stadt- und Raumforschung (BBSR)
Referat RS 3 „Europäische Raum- und Stadtentwicklung“
Telefon: +49 228 99401-2328
E-Mail: claire.duvernet@bbr.bund.de";/;/;Tim;Demography
66;Ausländer (foreigners) - MORO Project (Modellvorhaben der Raumordnung (Model project of spatial planning);Bundesinstitut für Bau-, Stadt- und Raumforschung (BBSR) - (Federal Institute for Research on Building, Urban Affairs and Spatial Development);Germany/Netherlands (and other EU-countries);NUTS 3;2010-2018;years;Not stated;Number of foreigners, Female foreigners, Male foreigners, German nationals, Proportion of Germans (no data for Germany, but for the Netherlands);quantitative;secondary;aggregated;on request;Free;https://www.bbsr.bund.de/BBSR/DE/forschung/raumbeobachtung/Komponenten/grenzueberschreitende-raumbeobachtung/grenzueberschreitende-raumbeobachtung.html;"Claire Duvernet
Bundesinstitut für Bau-, Stadt- und Raumforschung (BBSR)
Referat RS 3 „Europäische Raum- und Stadtentwicklung“
Telefon: +49 228 99401-2328
E-Mail: claire.duvernet@bbr.bund.de";/;/;Tim;Demography
67;Natürliche Bevölkerungsveränderung (Natural population change) - MORO Project (Modellvorhaben der Raumordnung (Model project of spatial planning);Bundesinstitut für Bau-, Stadt- und Raumforschung (BBSR) - (Federal Institute for Research on Building, Urban Affairs and Spatial Development);Germany/Netherlands (and other EU-countries);LAU;2010-2019;years;Not stated;Live births, deaths, natural balance;quantitative;secondary;aggregated;on request;Free;https://www.bbsr.bund.de/BBSR/DE/forschung/raumbeobachtung/Komponenten/grenzueberschreitende-raumbeobachtung/grenzueberschreitende-raumbeobachtung.html;"Claire Duvernet
Bundesinstitut für Bau-, Stadt- und Raumforschung (BBSR)
Referat RS 3 „Europäische Raum- und Stadtentwicklung“
Telefon: +49 228 99401-2328
E-Mail: claire.duvernet@bbr.bund.de";/;/;Tim;Demography
68;Wanderung (Migration) - MORO Project (Modellvorhaben der Raumordnung (Model project of spatial planning);Bundesinstitut für Bau-, Stadt- und Raumforschung (BBSR) - (Federal Institute for Research on Building, Urban Affairs and Spatial Development);Germany/Netherlands (and other EU-countries);LAU;2011-2019;years;Not stated;In-migration, out-migration, net migration, net migration < 18 y., net migration 18 < 50 y., net migration 25 < 50 y., net migration 50 < 60 y., net migration 65+ y.;quantitative;secondary;aggregated;on request;Free;https://www.bbsr.bund.de/BBSR/DE/forschung/raumbeobachtung/Komponenten/grenzueberschreitende-raumbeobachtung/grenzueberschreitende-raumbeobachtung.html;"Claire Duvernet
Bundesinstitut für Bau-, Stadt- und Raumforschung (BBSR)
Referat RS 3 „Europäische Raum- und Stadtentwicklung“
Telefon: +49 228 99401-2328
E-Mail: claire.duvernet@bbr.bund.de";/;/;Tim;Demography
69;Außenwanderung (External migration) - MORO Project (Modellvorhaben der Raumordnung (Model project of spatial planning);Bundesinstitut für Bau-, Stadt- und Raumforschung (BBSR) - (Federal Institute for Research on Building, Urban Affairs and Spatial Development);Germany/Netherlands (and other EU-countries);NUTS 3;2011 - 2019;years;Not stated;In-migration abroad, out-migration abroad, net migration abroad, in-migration foreigners, out-migration foreigners, net migration foreigners;quantitative;secondary;aggregated;on request;Free;https://www.bbsr.bund.de/BBSR/DE/forschung/raumbeobachtung/Komponenten/grenzueberschreitende-raumbeobachtung/grenzueberschreitende-raumbeobachtung.html;"Claire Duvernet
Bundesinstitut für Bau-, Stadt- und Raumforschung (BBSR)
Referat RS 3 „Europäische Raum- und Stadtentwicklung“
Telefon: +49 228 99401-2328
E-Mail: claire.duvernet@bbr.bund.de";/;/;Tim;Demography
70;Bevölkerungsprognose (Population progonosis) - MORO Project (Modellvorhaben der Raumordnung (Model project of spatial planning);Bundesinstitut für Bau-, Stadt- und Raumforschung (BBSR) - (Federal Institute for Research on Building, Urban Affairs and Spatial Development);Germany/Netherlands (and other EU-countries);NUTS 3;2020, 2030, 2040;decades;Not stated;Projected population under 18, Projected population 65 and older, Projected average age, Projected dependency ratio;quantitative;secondary;aggregated;on request;Free;https://www.bbsr.bund.de/BBSR/DE/forschung/raumbeobachtung/Komponenten/grenzueberschreitende-raumbeobachtung/grenzueberschreitende-raumbeobachtung.html;"Claire Duvernet
Bundesinstitut für Bau-, Stadt- und Raumforschung (BBSR)
Referat RS 3 „Europäische Raum- und Stadtentwicklung“
Telefon: +49 228 99401-2328
E-Mail: claire.duvernet@bbr.bund.de";/;/;Tim;Demography
71;Fertilität (Fertility) - MORO Project (Modellvorhaben der Raumordnung (Model project of spatial planning);Bundesinstitut für Bau-, Stadt- und Raumforschung (BBSR) - (Federal Institute for Research on Building, Urban Affairs and Spatial Development);Germany/Netherlands (and other EU-countries);NUTS 3;2014-2019;years;Not stated;fertility rate;quantitative;secondary;aggregated;on request;Free;https://www.bbsr.bund.de/BBSR/DE/forschung/raumbeobachtung/Komponenten/grenzueberschreitende-raumbeobachtung/grenzueberschreitende-raumbeobachtung.html;"Claire Duvernet
Bundesinstitut für Bau-, Stadt- und Raumforschung (BBSR)
Referat RS 3 „Europäische Raum- und Stadtentwicklung“
Telefon: +49 228 99401-2328
E-Mail: claire.duvernet@bbr.bund.de";/;/;Tim;Demography
